species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Hydropotes_inermis,Artiodactyla,52,11300,"Perez-Barbería et al., 2007",NA
Hydrurga_leptonyx,Carnivora,712.5,345500,"Boddy et al., 2012",NA
Hyemoschus_aquaticus,Artiodactyla,25.2,10800,"Isler & van Schaik, 2012",NA
Hylobates_agilis,Primates,88.1,5528.75,"Boddy et al., 2012",NA
Hylobates_klossii,Primates,87.99,5795,"Isler et al., 2008",NA
Hylobates_lar,Primates,93.99,5550,"Boddy et al., 2012",NA
Hylobates_moloch,Primates,103,6577,"Isler et al., 2008",NA
Hylobates_muelleri,Primates,95.31,5954.88,"Boddy et al., 2012",NA
Hylobates_pileatus,Primates,84.69,5470,"Isler et al., 2008",NA
Hylochoerus_meinertzhageni,Artiodactyla,141,200000,"Perez-Barbería et al., 2007",NA
Hylonycteris_underwoodi,Chiroptera,0.34,6.7,"Shi et al., 2018","Faurby et al., 2018"
Hylopetes_spadiceus,Rodentia,1.87,87.5,"Boddy et al., 2012",NA
Hyperoodon_ampullatus,Cetacea,2720,5800000,"Ridway et al., 2017; Faurby et al., 2018",NA
Hypsignathus_monstrosus,Chiroptera,3.41,324.63,"Jones & MacLarnon, 2004",NA
Hypsugo_savii,Chiroptera,0.12,6.4,"Shi et al., 2018","Faurby et al., 2018"
Hystrix_africaeaustralis,Rodentia,35.71,14936,"Stankowich & Romero, 2017",NA
Hystrix_brachyura,Rodentia,37.64,8000,"Stankowich & Romero, 2017",NA
Hystrix_cristata,Rodentia,32.4,15000,"Isler & van Schaik, 2012",NA
Hystrix_indica,Rodentia,44.07,14650,"Stankowich & Romero, 2017",NA
Hystrix_sumatrae,Rodentia,27.04,3260,"Stankowich & Romero, 2017",NA
Ia_io,Chiroptera,0.76,53.3,"Jones & MacLarnon, 2004",NA
Ichneumia_albicauda,Carnivora,28.3,4400,"Boddy et al., 2012",NA
Ictidomys_mexicanus,Rodentia,3.5,274.5,"Mateju, 2016",NA
Ictidomys_tridecemlineatus,Rodentia,2.27,149.8,"Mateju, 2016",NA
Ictonyx_libycus,Carnivora,4.64128,630,"Finarelli & Flynn, 2009",NA
Ictonyx_striatus,Carnivora,8.5,713,"Isler & van Schaik, 2012",NA
Idionycteris_phyllotis,Chiroptera,0.32,12,"Shi et al., 2018","Faurby et al., 2018"
Inia_geoffrensis,Cetacea,633.65,92003.5,"Montgomery et al., 2013",NA
Iomys_horsfieldii,Rodentia,3.38,155.5,"Boddy et al., 2012",NA
Isoodon_macrourus,Peramelemorphia,4.42,1600,"Ashwell, 2008; Weisbecker et al., 2015",NA
Isoodon_obesulus,Peramelemorphia,4.03,691,"Boddy et al., 2012",NA
Isothrix_orinoci,Rodentia,3.64,324.3,Scan,"Faurby et al., 2018"
Isthmomys_pirrensis,Rodentia,1.71,138,"Boddy et al., 2012",NA
Jaculus_jaculus,Rodentia,1.53,64.2,"Boddy et al., 2012",NA
Jaculus_orientalis,Rodentia,2.5,98,"Boddy et al., 2012",NA
